ori_relation,new_relation,most_relation,relations
/film/actor/film./film/performance/film,acted in film	has actor in film,starred in	features actor,"['starred in\tfeatures actor', 'starred in\tfeatures actor', 'starred in\tfeatures actor']"
/location/country/form_of_government,has form of government	form of government is,has form of government	is form of government of,"['has form of government\tis form of government of', 'is governed under\thas jurisdiction over', 'is a form of government\thas as a form of government', 'has form of government\tis form of government of', 'has form of government\tis form of government of']"
/award/award_winner/awards_won./award/award_honor/award_winner,award winner won award	winner of award received honor,award winner received honor	honor was awarded to winner,"['award winner received honor\thonor was awarded to winner', 'co-starred in the same production\tappeared alongside in the same work', 'collaborated with\twas collaborated by', 'award winner received honor\thonor was awarded to winner', 'award winner received honor\thonor was awarded to winner']"
/media_common/netflix_genre/titles,is a Netflix genre title for	has Netflix genre title as,is a genre title for	has genre title as,"['belongs to the genre of\tis a genre that includes', 'is a period film example of\thas period film example in', 'is a media genre title for\thas media genre title as', 'is a genre title for\thas genre title as', 'is a genre title for\thas genre title as', 'is a genre title for\thas genre title as']"
/music/performance_role/regular_performances./music/group_membership/role,regular performer in group	group with regular performer,performs regularly with	regularly performed by,"['performs with in ensemble\tensemble that performs with', 'performs with\tperformed by', 'performs regularly with\tperformed regularly by', 'performs regularly with\tregularly performed by', 'performs regularly with\tregularly performed by', 'regular member in ensemble\tensemble with regular member', 'performs regularly with\tregularly performed by']"
/soccer/football_team/current_roster./sports/sports_team_roster/position,current roster position	position in current roster,has position in roster	position is held by,"['has position in roster\tposition is held by', 'has position in current roster\tis position in current roster of', 'has defender position in roster\tdefender position is held by', 'has players in the position of\tis a position played by members of', 'has position in roster\tposition is held by', 'has players in the position of\tplays as a position for', 'has position in roster\tposition is held by']"
/award/award_nominee/award_nominations./award/award_nomination/award_nominee,award nominee has award nominations	award nomination is for award nominee,award nominee has award nominations	award nomination is for award nominee,"['award nominee received award nominations\taward nominations were given to award nominee', 'award nominee is nominated for award\taward is nominated for award nominee', 'nominated for award\taward nominee is nominated by', 'award nominee is nominated for\taward nomination includes nominee', 'award nominee received award nominations\taward nominations were given to award nominee', 'nominated for\taward nomination received by', 'produced and performed on album\talbum was produced and performed on by', 'co-starred in the same TV series\twas co-starred in the same TV series by']"
/soccer/football_team/current_roster./soccer/football_roster_position/position,current roster position	is position in current roster,current roster position	is position in current roster,"['has position in current roster\tis position in current roster of', 'has position in current roster\tis position in roster of', 'has current roster position\tposition in current roster of', 'has position in roster\tplays for team as position', 'has current roster position\tposition in current roster of', 'has position in roster\thas roster with position', 'has position in roster\tposition is held by team', 'current roster has position\tposition is part of current roster']"
/tv/tv_program/regular_cast./tv/regular_tv_appearance/actor,regular cast member in TV program	actor appearing regularly in TV program,regular cast member in TV program	actor appearing regularly in TV program,"['starred in\tfeatured actor in', 'has regular cast member\tregularly appears as actor in', 'has regular cast member\tregularly appears as actor in', 'regular cast member in TV program\tactor appearing regularly in TV program', 'has regular cast member\tappears regularly in', 'features actor regularly appearing in\tregularly appears in TV program as actor', 'has regular cast member\tappears regularly in', 'starred in\twas starred by']"
/award/award_category/nominees./award/award_nomination/nominated_for,nominees are nominated for	award nominations are in category,nominees are nominated for	award nominations are in category,"['nominated for\thas nominee in category', 'nominated_for\tin_category', 'nominated for\tin the category of', 'nominees are awarded in category\taward category includes nominees', 'nominated for\tin category as award nominations', 'nominees are in category\taward nominations are for nominees', 'nominees are in category\taward category includes nominees', 'nominated for\tin category for award']"
