ori_relation,new_relation,most_relation,relations
/tv/tv_program/regular_cast./tv/regular_tv_appearance/actor,regular cast member in TV program	actor appearing regularly in TV program,regular cast member in TV program	actor appearing regularly in TV program,"['starring actor in TV series\tTV series starring actor', 'features actor\tactor appears in', 'regular cast member in TV program\tactor appearing regularly in TV program', 'regular cast member in TV program\tvoice actor in TV program', 'regular cast member in TV program\tactor appearing regularly in TV program']"
/film/actor/film./film/performance/film,acts in film	has actor in film,acts in film	has actor in film,"['acted in\tfilm features actor', 'appears in film\tfeatures actor in film', 'acts in film\thas actor in film', 'appears in film\tfeatures musician in film', 'directed film\twas directed by', 'acts in film\thas actor in film']"
/award/award_nominee/award_nominations./award/award_nomination/award_nominee,award nominee has award nominations	award nomination is for award nominee,award nominee has award nominations	award nomination is for award nominee,"['co-starred in Mad Men with\twas co-starred in Mad Men by', 'award nominee has co-starred in film with\taward nominee has co-starred in film with', 'award winner inspired award nominee\taward nominee was inspired by award winner', 'award nominee has award nominations\taward nomination is for award nominee', 'co-starred in Desperate Housewives\twas co-starred with in Desperate Housewives', 'award nominee has award nominations\taward nomination is for award nominee']"
/music/performance_role/regular_performances./music/group_membership/role,regular performer in group	group with regular performer,regular performer in group	group with regular performer,"['imitates sound of\tcan be imitated by', 'belongs to same musical family as\tis in same musical family as', 'similar free-reed instrument\tinstrument similar to free-reed', 'regular performer in group\tgroup with regular performer', 'used in jazz music\tjazz music instrument', 'modern variant of keyboard instrument\tkeyboard instrument with modern variant', 'regular performer in group\tgroup with regular performer']"
/soccer/football_team/current_roster./sports/sports_team_roster/position,current roster position	position in current roster,current roster position	position in current roster,"['has midfielder position\tmidfielder position is held by', 'has midfielder position\tmidfielder position is held by', 'has defender position\tposition held by team', 'has midfielder\tmidfielder of', 'has midfielders\tmidfielder for', 'has goalkeeper position\tgoalkeeper position is held by', 'has forwards\tare forwards of', 'has goalkeeper position\tposition held by goalkeeper']"
/soccer/football_team/current_roster./soccer/football_roster_position/position,current roster position	position in current roster,current roster position	position in current roster,"['has midfielder position\tposition held by team', 'has midfielders in its current roster\tmiddlefield position is played in', 'has forwards\tare forwards of', 'current roster includes\tincludes in current roster', 'captained by defender\tdefender who captains', 'has goalkeeper position\tposition held by goalkeeper', 'current roster includes position\tposition included in current roster', 'has forwards\tforwards play for']"
/award/award_category/nominees./award/award_nomination/nominated_for,is nominated for	has nominee in,is nominated for	has nominee in,"['was nominated for\thad nominee in', 'is eligible for\thas potential nominee in', 'was awarded for\thas award winner in', 'was nominated for\thas nominee including', 'was awarded the BAFTA for Best Film\treceived the BAFTA for Best Film', 'won the award for\thas award winner in', 'is nominated for\thas nominee in', 'is nominated for\thas nominee in']"
/media_common/netflix_genre/titles,"""is a Netflix genre title of""	""has Netflix genre title""","""is a Netflix genre title of""	""has Netflix genre title""","['""is a genre that includes""\t""belongs to the genre""', '""is a subgenre of""\t""belongs to the genre of""', '""is depicted in the film""\t""depicts the sport of""', '""is a subgenre of""\t""includes subgenre""', '""is the original language of""\t""has original language""', '""is a television program that includes""\t""is included in the television medium as""', '""is a genre of""\t""belongs to the genre of""', '""is a period piece example of""\t""has period piece example""']"
/location/country/form_of_government,has form of government	has government type,has form of government	has government type,"['is a unitary state\thas example country', 'has government type\tis government type of', 'operates under\toperated by', 'has government type\tis government type of', 'is a parliamentary constitutional monarchy with democratic elements\thas democratic governance principles', 'has form of government\tis government type of', 'is a historical instance of\thas historical precedent in', 'is a republic\thas republic as form of government']"
/award/award_winner/awards_won./award/award_honor/award_winner,award winner won award	winner of award received honor,award winner won award	winner of award received honor,"['award winner won award\twinner of award received honor', 'co-starred with\twas co-starred by', 'award winner won award\treceived honor from winner of award', 'award winner won award\treceived honor from winner of award', 'co-starred in Downton Abbey with\tco-starred in Downton Abbey with', 'co-starred in Glee\tco-starred in Glee', ""co-starred in Grey's Anatomy\tco-starred in Grey's Anatomy"", 'co-starred in Downton Abbey\tco-starred in Downton Abbey']"
